Origin_Airport,temperature_C,dew_point_C,humidity_percent,precipitation_mm,wind_direction_deg,wind_speed_kmh,pressure_hPa,snow_mm,temperature_C_norm,dew_point_C_norm,humidity_percent_norm,precipitation_mm_norm,wind_direction_deg_norm,wind_speed_kmh_norm,pressure_hPa_norm,snow_mm_norm,weather_score
LGA,13.351044553685824,5.396304794171728,61.14089814998472,0.1528207434078913,186.78490271544885,16.32248377014994,1016.4286007028511,0.6559754260503166,0.48583927284515077,0.357555281695606,0.6416939046240646,0.6179544467573358,0.7508239268888274,0.8614872970162722,0.8000153520175689,0.05574208409251859,71.25494783437445
MCO,21.576696820001708,17.349375099716937,79.28318697038647,0.09283711350448849,155.56721579326467,10.242149265903027,1017.5831129116092,0.0,0.8519241264491298,0.9011904513903626,1.0,0.3535725963757041,0.4052791709103465,0.17272264992048436,0.9224288137676683,0.0,73.77110232110383
MIA,24.903850710334577,19.521930422164786,73.35773612196975,0.17103604540004083,136.39620071552412,11.501689241035535,1017.195510868501,0.7077209893215554,1.0,1.0,0.8829736877272797,0.6982396054531338,0.19307755125126422,0.3154000973321754,0.8813311904438482,0.060139208473606126,100.00000000000001
MSP,8.210640509503696,2.429608302534319,69.61333487328406,0.10735062084490683,180.73968782998944,13.657274617212249,1015.8797139066847,4.062780491024287,0.2570642163446709,0.22262755940855983,0.809022611089771,0.41754184819268225,0.6839101831626986,0.5595792621248669,0.7418166319711846,0.3452383165383219,52.8429043911232
OKC,14.1666256684492,8.604251336898395,71.46930481283422,0.12156358090776812,165.13213903743315,16.417475935828875,1015.8792352941176,0.2378846561282215,0.522136928439343,0.5034552486955386,0.8456775970597609,0.48018641783394583,0.5111521357010336,0.8722477651163443,0.7417658844600418,0.020214456181780912,66.95431289125675
ORD,10.482203273520962,4.777226583079872,70.09652326749988,0.12057156882613985,185.12383049466433,14.830511393570724,1016.4426749246124,1.0353000414220153,0.3581607245599352,0.3293991109596976,0.8185654724440532,0.4758140584058123,0.7324377217665722,0.6924805052495544,0.8015076482394499,0.08797552420127903,58.13447779775954
PDX,11.6862351075352,6.819267368095312,74.12252436948785,0.11478155894571629,180.2497375345656,10.402485300943834,1017.7854532531333,0.23787990054373012,0.41174648328385083,0.4222727543256602,0.8980780824081459,0.4502942035991016,0.6784869833050082,0.1908851034030164,0.9438830534628052,0.02021405207184005,55.73653593390177
PHX,23.043656698644362,3.973633167887662,34.227867275100266,0.022155503716642707,136.351824032252,9.520964284693576,1011.6095942611628,0.7077209893215554,0.9172115681046635,0.2928510415962187,0.11016764005110855,0.04203868597787687,0.19258635117514655,0.09102867095821468,0.28905387733757193,0.060139208473606126,48.92865299969609
SEA,10.678140970945524,6.273509671630763,75.95376617436204,0.12914733733559858,147.97632828329358,11.726698802811327,1017.9233933079578,0.07648461071576225,0.3668809841764164,0.3974512590658118,0.9342446933186608,0.5136123302114105,0.3212565660699769,0.34088860150927847,0.9585089010692438,0.006499346519688898,57.72409635894464
SFO,13.674061300694948,9.11100076064032,75.21643674584242,0.06470620561211644,209.2963155043852,14.170324655118764,1016.6306702422524,0.7034266549293439,0.5002152195435919,0.5265026166040883,0.9196826040941993,0.2295837431923015,1.0,0.6176962502699013,0.8214408784387888,0.05977429366231,53.10271312155985
